"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"624",624,0,1,0,70,120,7,701001207,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"625",625,0,1,0,70,120,8,701001208,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"626",626,0,1,0,70,140,4,701001404,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"627",627,0,1,0,70,140,5,701001405,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%"
"628",628,0,1,0,70,140,6,701001406,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"629",629,0,1,0,70,140,7,701001407,"10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"630",630,0,1,0,70,140,8,701001408,"20% to <30%","10% to <20%",">=40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
"631",631,0,1,0,70,160,4,701001604,"10% to <20%","<10%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%"
"632",632,0,1,0,70,160,5,701001605,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"633",633,0,1,0,70,160,6,701001606,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","30% to <40%","20% to <30%","20% to <30%"
"634",634,0,1,0,70,160,7,701001607,"20% to <30%","20% to <30%",">=40%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"635",635,0,1,0,70,160,8,701001608,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","30% to <40%"
"636",636,0,1,0,70,180,4,701001804,"20% to <30%","10% to <20%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","30% to <40%",">=40%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"637",637,0,1,0,70,180,5,701001805,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%"
"638",638,0,1,0,70,180,6,701001806,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%"
"639",639,0,1,0,70,180,7,701001807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"640",640,0,1,0,70,180,8,701001808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"641",641,1,1,0,40,120,0,401101200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"642",642,1,1,0,40,140,0,401101400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"643",643,1,1,0,40,160,0,401101600,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"644",644,1,1,0,40,180,0,401101800,"20% to <30%","30% to <40%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","30% to <40%","20% to <30%"
"645",645,1,1,0,50,120,0,501101200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"646",646,1,1,0,50,140,0,501101400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"647",647,1,1,0,50,160,0,501101600,"<10%","<10%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%"
"648",648,1,1,0,50,180,0,501101800,"30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"649",649,1,1,0,60,120,0,601101200,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"650",650,1,1,0,60,140,0,601101400,"10% to <20%","<10%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%"
"651",651,1,1,0,60,160,0,601101600,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%","20% to <30%","10% to <20%"
"652",652,1,1,0,60,180,0,601101800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"653",653,1,1,0,70,120,0,701101200,"<10%","<10%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%"
"654",654,1,1,0,70,140,0,701101400,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"655",655,1,1,0,70,160,0,701101600,"20% to <30%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","30% to <40%"
"656",656,1,1,0,70,180,0,701101800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"657",657,1,1,1,40,120,0,401111200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"658",658,1,1,1,40,140,0,401111400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"659",659,1,1,1,40,160,0,401111600,"10% to <20%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%"
"660",660,1,1,1,40,180,0,401111800,">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"661",661,1,1,1,50,120,0,501111200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"662",662,1,1,1,50,140,0,501111400,"<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"663",663,1,1,1,50,160,0,501111600,"10% to <20%","20% to <30%",">=40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%"
"664",664,1,1,1,50,180,0,501111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"665",665,1,1,1,60,120,0,601111200,"<10%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"666",666,1,1,1,60,140,0,601111400,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","30% to <40%","20% to <30%","10% to <20%"
"667",667,1,1,1,60,160,0,601111600,"30% to <40%","20% to <30%",">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"668",668,1,1,1,60,180,0,601111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"669",669,1,1,1,70,120,0,701111200,"10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"670",670,1,1,1,70,140,0,701111400,"20% to <30%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"671",671,1,1,1,70,160,0,701111600,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"672",672,1,1,1,70,180,0,701111800,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"673",673,1,0,0,40,120,0,400101200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"674",674,1,0,0,40,140,0,400101400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"675",675,1,0,0,40,160,0,400101600,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"676",676,1,0,0,40,180,0,400101800,"10% to <20%","20% to <30%","30% to <40%",">=40%",">=40%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"677",677,1,0,0,50,120,0,500101200,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"678",678,1,0,0,50,140,0,500101400,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
